# verified GAV mapping — jlawyer.thirdparty:* -> Maven Central (Task 1.3)
# columns: synthetic	status	centralGav	localSha1	centralSha1	modules	candidates	notes
# generated from scripts/lib-gav-map.txt by SHA-1 verification against repo1.maven.org

jlawyer.thirdparty:activation:1.1	CENTRAL_OK	javax.activation:activation:1.1	e6cb541461c2834bdea3eb920f1884d1eb508b50	e6cb541461c2834bdea3eb920f1884d1eb508b50	j-lawyer-fax	javax.activation:activation:1.1	Exact sha1 match.
jlawyer.thirdparty:activation:1.1.1	CENTRAL_OK	javax.activation:activation:1.1.1	485de3a253e23f645037828c07f1d7f1af40763a	485de3a253e23f645037828c07f1d7f1af40763a	j-lawyer-server/j-lawyer-server-ejb	javax.activation:activation:1.1.1;one.gfw:activation:1.1.1	Canonical javax.activation matches; one.gfw mirror has same sha. eu.ocathain/org.lucee differ.
jlawyer.thirdparty:asm-all-repackaged:2.2.0-b21	CENTRAL_OK	org.glassfish.hk2.external:asm-all-repackaged:2.2.0-b21	dcf7821b776944201d6284ebbd8be4bc2a318a1f	dcf7821b776944201d6284ebbd8be4bc2a318a1f	j-lawyer-fax	org.glassfish.hk2.external:asm-all-repackaged:2.2.0-b21	Exact sha1 match on Central (hk2 external).
jlawyer.thirdparty:barcodes:9.0.0	CENTRAL_OK	com.itextpdf:barcodes:9.0.0	d6423c97e85d38031182f3d067570ff8db3fbac3	d6423c97e85d38031182f3d067570ff8db3fbac3	j-lawyer-client	com.itextpdf:barcodes:9.0.0	iText barcodes module; sha1 exact match
jlawyer.thirdparty:beansbinding:1.2.1	CENTRAL_OK	org.jdesktop:beansbinding:1.2.1	5a34143743fc23e24b27e7cb7042ff0fb710a69b	5a34143743fc23e24b27e7cb7042ff0fb710a69b	j-lawyer-client	org.jdesktop:beansbinding:1.2.1;net.java.dev.beansbinding:beansbinding:1.2.1	org.jdesktop matches local sha exactly; net.java.dev.beansbinding:1.2.1 has different sha (54e05a62...).
jlawyer.thirdparty:bouncy-castle-adapter:9.0.0	CENTRAL_OK	com.itextpdf:bouncy-castle-adapter:9.0.0	d9ade988e96623e74e53918d61d984341e32f53c	d9ade988e96623e74e53918d61d984341e32f53c	j-lawyer-client	com.itextpdf:bouncy-castle-adapter:9.0.0	Exact sha match under com.itextpdf.
jlawyer.thirdparty:bouncy-castle-connector:9.0.0	CENTRAL_OK	com.itextpdf:bouncy-castle-connector:9.0.0	3329a0bbdd545d52a311fd814c539a88c6a8b5d9	3329a0bbdd545d52a311fd814c539a88c6a8b5d9	j-lawyer-client	com.itextpdf:bouncy-castle-connector:9.0.0	Exact sha match under com.itextpdf.
jlawyer.thirdparty:bouncy-castle-fips-adapter:9.0.0	CENTRAL_OK	com.itextpdf:bouncy-castle-fips-adapter:9.0.0	5985017c00383bbc416144a6ecfbe711f037c5b5	5985017c00383bbc416144a6ecfbe711f037c5b5	j-lawyer-client	com.itextpdf:bouncy-castle-fips-adapter:9.0.0	iText BC FIPS adapter; sha1 exact match
jlawyer.thirdparty:cglib:2.2.0-b21	CENTRAL_OK	org.glassfish.hk2.external:cglib:2.2.0-b21	c8ca25fe0b285c7acf1a2240b2953dd054ce7da1	c8ca25fe0b285c7acf1a2240b2953dd054ce7da1	j-lawyer-fax,j-lawyer-server	org.glassfish.hk2.external:cglib:2.2.0-b21	HK2 repackaged cglib; sha matches.
jlawyer.thirdparty:checker-qual:3.33.0	CENTRAL_OK	org.checkerframework:checker-qual:3.33.0	de2b60b62da487644fc11f734e73c8b0b431238f	de2b60b62da487644fc11f734e73c8b0b431238f	j-lawyer-client	org.checkerframework:checker-qual:3.33.0	Exact sha1 match.
jlawyer.thirdparty:cleanup:5.0.0	CENTRAL_OK	com.itextpdf:cleanup:5.0.0	023e3bbee9cc8a86eb1d7ca2fdffc0993265b40b	023e3bbee9cc8a86eb1d7ca2fdffc0993265b40b	j-lawyer-client	com.itextpdf:cleanup:5.0.0	Exact sha-1 match (iText pdfSweep cleanup module).
jlawyer.thirdparty:commonmark:0.23.0	CENTRAL_OK	org.commonmark:commonmark:0.23.0	fef55c86ffcfa0ba482919c23cac3d7cd617f891	fef55c86ffcfa0ba482919c23cac3d7cd617f891	j-lawyer-client	org.commonmark:commonmark:0.23.0	Exact sha-1 match.
jlawyer.thirdparty:commonmark-ext-gfm-tables:0.23.0	CENTRAL_OK	org.commonmark:commonmark-ext-gfm-tables:0.23.0	42a52264f710a93f9407f6ca46120b834c883d3c	42a52264f710a93f9407f6ca46120b834c883d3c	j-lawyer-client	org.commonmark:commonmark-ext-gfm-tables:0.23.0	Exact sha-1 match.
jlawyer.thirdparty:commons:9.0.0	CENTRAL_OK	com.itextpdf:commons:9.0.0	eaced1fb5b507d32f38523e635e7d5fc2b105c1c	eaced1fb5b507d32f38523e635e7d5fc2b105c1c	j-lawyer-client	com.itextpdf:commons:9.0.0	iText commons module; sha1 exact match
jlawyer.thirdparty:commons-codec:1.13	CENTRAL_OK	commons-codec:commons-codec:1.13	3f18e1aa31031d89db6f01ba05d501258ce69d2c	3f18e1aa31031d89db6f01ba05d501258ce69d2c	j-lawyer-server/j-lawyer-server-ejb	commons-codec:commons-codec:1.13	Exact sha match.
jlawyer.thirdparty:commons-collections:3.2.1	CENTRAL_OK	commons-collections:commons-collections:3.2.1	761ea405b9b37ced573d2df0d1e3a4e0f9edc668	761ea405b9b37ced573d2df0d1e3a4e0f9edc668	j-lawyer-client	commons-collections:commons-collections:3.2.1;org.lucee:commons-collections:3.2.1	Canonical commons-collections group sha matches local exactly; org.lucee repack (b491901a...) differs.
jlawyer.thirdparty:commons-collections4:4.4	CENTRAL_OK	org.apache.commons:commons-collections4:4.4	62ebe7544cb7164d87e0637a2a6a2bdc981395e8	62ebe7544cb7164d87e0637a2a6a2bdc981395e8	j-lawyer-server/j-lawyer-server-ejb	org.apache.commons:commons-collections4:4.4	Exact sha match.
jlawyer.thirdparty:commons-compress:1.19	CENTRAL_OK	org.apache.commons:commons-compress:1.19	7e65777fb451ddab6a9c054beb879e521b7eab78	7e65777fb451ddab6a9c054beb879e521b7eab78	j-lawyer-server/j-lawyer-server-ejb	org.apache.commons:commons-compress:1.19	Exact sha match.
jlawyer.thirdparty:commons-digester:2.1	CENTRAL_OK	commons-digester:commons-digester:2.1	73a8001e7a54a255eef0f03521ec1805dc738ca0	73a8001e7a54a255eef0f03521ec1805dc738ca0	j-lawyer-client	commons-digester:commons-digester:2.1	Exact sha1 match on Central.
jlawyer.thirdparty:commons-imaging:1.0-alpha2	CENTRAL_OK	org.apache.commons:commons-imaging:1.0-alpha2	838bd680e85e4611cdc0a81c81174bb87927e255	838bd680e85e4611cdc0a81c81174bb87927e255	j-lawyer-client	org.apache.commons:commons-imaging:1.0-alpha2	Apache Commons Imaging; sha1 exact match
jlawyer.thirdparty:commons-io:2.15.1	CENTRAL_OK	commons-io:commons-io:2.15.1	f11560da189ab563a5c8e351941415430e9304ea	f11560da189ab563a5c8e351941415430e9304ea	j-lawyer-client	commons-io:commons-io:2.15.1	Exact sha1 match.
jlawyer.thirdparty:commons-lang3:3.5	CENTRAL_OK	org.apache.commons:commons-lang3:3.5	6c6c702c89bfff3cd9e80b04d668c5e190d588c6	6c6c702c89bfff3cd9e80b04d668c5e190d588c6	j-lawyer-server,j-lawyer-server-common,j-lawyer-server/j-lawyer-server-ejb	org.apache.commons:commons-lang3:3.5	Exact sha match.
jlawyer.thirdparty:commons-lang3:3.12.0	CENTRAL_OK	org.apache.commons:commons-lang3:3.12.0	c6842c86792ff03b9f1d1fe2aab8dc23aa6c6f0e	c6842c86792ff03b9f1d1fe2aab8dc23aa6c6f0e	j-lawyer-client	org.apache.commons:commons-lang3:3.12.0	Exact sha1 match.
jlawyer.thirdparty:commons-logging:1.2	CENTRAL_OK	commons-logging:commons-logging:1.2	4bfc12adfe4842bf07b657f0369c4cb522955686	4bfc12adfe4842bf07b657f0369c4cb522955686	j-lawyer-client,j-lawyer-server,j-lawyer-server-common,j-lawyer-server/j-lawyer-server-ejb	commons-logging:commons-logging:1.2	Exact sha1 match.
